,name,parent,numeral,discovery_year,year_announced,discovered_by,notes,mean_radius_km,orbital_semi_km,sidereal_period
25,Kalyke,Jupiter,23.0,2000.0,2001.0,"Sheppard, Jewitt, Fernández, Magnier, Dahm, Evans",Retrograde irregular (Carme),2.6,234,742.06
26,Iocaste,Jupiter,24.0,2000.0,2001.0,"Sheppard, Jewitt, Fernández, Magnier, Dahm, Evans",Retrograde irregular (Ananke),2.6,210,631.6
27,Erinome,Jupiter,25.0,2000.0,2001.0,"Sheppard, Jewitt, Fernández, Magnier, Dahm, Evans",Retrograde irregular (Carme),1.6,231,728.46
28,Isonoe,Jupiter,26.0,2000.0,2001.0,"Sheppard, Jewitt, Fernández, Magnier, Dahm, Evans",Retrograde irregular (Carme),1.9,231,726.23
29,Praxidike,Jupiter,27.0,2000.0,2001.0,"Sheppard, Jewitt, Fernández, Magnier, Dahm, Evans",Retrograde irregular (Ananke),3.5,209,625.39
30,Autonoe,Jupiter,28.0,2001.0,2002.0,"Sheppard, Jewitt, Kleyna",Retrograde irregular (Pasiphae),2.0,240,760.95
31,Thyone,Jupiter,29.0,2001.0,2002.0,"Sheppard, Jewitt, Kleyna",Retrograde irregular (Ananke),2.0,209,627.21
32,Hermippe,Jupiter,30.0,2001.0,2002.0,"Sheppard, Jewitt, Kleyna",Retrograde irregular (Ananke),2.0,211,633.9
33,Aitne,Jupiter,31.0,2001.0,2002.0,"Sheppard, Jewitt, Kleyna",Retrograde irregular (Carme),1.5,232,730.18
34,Eurydome,Jupiter,32.0,2001.0,2002.0,"Sheppard, Jewitt, Kleyna",Retrograde irregular (Pasiphae),1.5,228,717.33
35,Euanthe,Jupiter,33.0,2001.0,2002.0,"Sheppard, Jewitt, Kleyna",Retrograde irregular (Ananke),1.5,207,620.49
36,Euporie,Jupiter,34.0,2001.0,2002.0,"Sheppard, Jewitt, Kleyna",Retrograde irregular (Ananke),1.0,193,550.74
37,Orthosie,Jupiter,35.0,2001.0,2002.0,"Sheppard, Jewitt, Kleyna",Retrograde irregular (Ananke),1.0,207,622.56
38,Sponde,Jupiter,36.0,2001.0,2002.0,"Sheppard, Jewitt, Kleyna",Retrograde irregular (Pasiphae),1.0,234,748.34
39,Kale,Jupiter,37.0,2001.0,2002.0,"Sheppard, Jewitt, Kleyna",Retrograde irregular (Carme),1.0,232,729.47
40,Pasithee,Jupiter,38.0,2001.0,2002.0,"Sheppard, Jewitt, Kleyna",Retrograde irregular (Carme),1.0,230,719.44
41,Hegemone,Jupiter,39.0,2003.0,2003.0,"Sheppard, Jewitt, Kleyna, Fernández",Retrograde irregular (Pasiphae),1.5,235,739.88
42,Mneme,Jupiter,40.0,2003.0,2003.0,"Gladman, Allen",Retrograde irregular (Ananke),1.0,210,620.04
